company,sector,country,is_public,funding_efficiency,innovation_score,commercial_traction_score,technology_moat_score,risk_score,market_opportunity_score,founder_team_score,scalability_score,capital_intensity,global_expansion_score,simple_avg_score,weighted_score,topsis_score,ahp_score,rank_weighted,rank_topsis,rank_ahp,cluster_kmeans,cluster_hierarchical,cluster_dbscan,pca1,pca2,consensus_rank_score,final_rank
Figure AI,Robotics,USA,False,76.890756302521,1.0586319218241043,33.33333333333333,28.57142857142857,32.158590308370044,75,11.11111111111111,33.33333333333333,1.4221073044602464,32.35294117647059,32.52322333628523,35.17652075313889,0.29003624241000664,35.17652075313889,33,19,33,4,2,-1,-0.7263722080978644,-0.5374926327833305,0.33324651799497423,27
Cohere,Artificial Intelligence,Canada,False,7.563025210084033,6.188925081433226,33.33333333333333,18.571428571428573,66.51982378854625,95,44.44444444444444,66.66666666666666,36.97478991596639,32.35294117647059,40.761537818837354,37.49188359449832,0.23142303426823396,37.49188359449832,28,27,28,1,4,4,-0.6382636523609928,0.11391573174243111,0.33187009544195845,28
RTX Corporation,Defence Technology,USA,True,23.79256221284819,0.5123193303863558,0.9486500794070938,36.82419186504645,92.12512866877654,80,97.35345254427365,35.7948605262666,33.17601973054283,28.57142857142857,42.909861352897636,38.24665210183834,0.21276676741592984,38.24665210183835,27,30,27,1,6,1,-0.2426867033347151,-1.0835888238337354,0.3315565949376474,29
BAE Systems,Defence Technology,UK,True,12.606540416518714,0.4162454538370309,0.9274748544203283,30.233546138467865,100.0,80,97.20015531690252,28.757139128442628,43.10141250744584,35.71428571428571,42.895679953032065,36.65678079327072,0.20526312474435193,36.65678079327073,29,33,29,1,6,1,-0.5386919949843896,-0.8658785245023811,0.31817640297620065,30
SoundHound AI,Artificial Intelligence,USA,True,11.596959930434538,1.1888289767383768,1.4039174166225517,57.90612919300623,26.771391013728245,95,89.65420782068068,56.278657291441846,13.625512338468942,71.42857142857143,42.48541754096928,36.26868788979782,0.19476342681490016,36.268687889797825,30,37,30,2,0,-1,0.4123001468365594,-0.9185257653761142,0.3123098432730548,31
Rocket Lab,Space Technology,USA,True,32.78265679961046,1.2717620698158265,1.5288512440444677,52.78418450967558,33.86063186297385,65,95.55902723953493,52.22593256532814,2.1755905938009077,67.85714285714286,40.504577974192706,35.16737579080511,0.20462753361882483,35.16737579080512,34,34,34,2,0,1,0.2774172290160035,-0.8994645027834742,0.3075598906212832,32
Kratos Defense,Defence Technology,USA,True,12.804350034136672,0.6892447311479015,1.0958178930651141,37.97315320886894,74.33880992000819,80,96.77767920394534,38.48327048429393,30.72380549951562,24.999999999999996,39.78861309749817,35.35985749843783,0.19094533616275444,35.35985749843783,32,39,32,1,6,1,-0.5441572759808543,-1.033497518035744,0.30480260333789116,33
C3.ai,Artificial Intelligence,USA,True,5.0283518668943445,0.0,0.3006881948120699,48.14657185332909,46.59275160871173,95,85.89150942681701,46.559560641827005,92.46749366403067,32.14285714285714,45.21297843992791,35.61442272822348,0.18493209851950237,35.61442272822349,31,40,31,1,4,-1,-1.0349001442191996,-0.5192950832274945,0.30478058865341506,34
Lockheed Martin,Defence Technology,USA,True,11.372799533039714,0.3126244290275508,0.8597141344626786,27.113773398889858,96.69522645440983,80,97.24347840181129,25.432317987381907,35.07736812465144,3.571428571428571,37.76787310351028,34.71334860340744,0.19819014429853707,34.71334860340744,35,36,35,1,6,1,-0.9951773495312396,-1.182617984631965,0.3024504835134132,35
D-Wave Quantum,Quantum Computing,Canada,True,29.9171822626366,0.3773889465925261,0.0,82.44487485037072,46.2632674308193,55,0.0,82.10307896635202,13.167429412478485,82.14285714285714,39.14160790121068,33.25144379419286,0.23196957949587574,33.251443794192866,36,26,36,2,0,-1,0.39800136011304077,0.16405505451482422,0.30235098040811276,36
IonQ,Quantum Computing,USA,True,24.00350294702224,8.645475635128456,8.847008999470619,51.646847275522525,15.200070741739639,55,76.40197993705526,51.77753112012983,20.894579432319173,78.57142857142858,39.09884246598163,32.41485419016222,0.19837465273040794,32.414854190162224,37,35,37,2,0,1,-0.4022253871945681,-0.010500654886831415,0.2864163751502579,37
Symbotic,Robotics,USA,True,15.451905084167224,0.6681405112625284,1.1011116993118053,36.58542317229918,50.99501675551299,75,96.7427884483811,35.992923147860225,13.77373412327422,10.714285714285714,33.7025328656355,31.769550978944682,0.1721408036645815,31.76955097894469,38,42,38,1,6,1,-0.9090618338323823,-1.2714656285600052,0.27402909795198727,38
Rigetti Computing,Quantum Computing,USA,True,13.304625188707222,2.646643445252295,2.9624139756484915,45.77612054860864,50.331434158260656,55,66.90725116853751,45.586344172354146,12.142870383768756,92.85714285714285,38.75148458982805,30.782813790775723,0.17271176601219315,30.78281379077573,39,41,39,2,0,1,-0.22218885775935557,-0.08036289306798088,0.26729322633908803,39
Agility Robotics,Robotics,USA,False,9.963985594237695,4.723127035830619,33.33333333333333,31.428571428571434,41.85022026431719,75,0.0,33.33333333333333,30.252100840336134,0.0,25.98846718299597,28.141442640279866,0.20576049511567554,28.141442640279866,41,32,41,4,2,2,-2.207154262760549,0.20969386008167074,0.25871824701666174,40
Saronic Technologies,Defence Technology,USA,False,15.966386554621847,0.0,33.33333333333333,8.57142857142857,38.32599118942731,80,33.33333333333333,33.33333333333333,20.168067226890756,0.0,26.303187354236844,27.618593516701832,0.19211644044641144,27.618593516701836,42,38,42,4,2,2,-2.088862265394619,-0.354561032611376,0.2509650867508363,41
Intuitive Machines,Space Technology,USA,True,4.858614260759244,2.4283102033670687,2.960296453149815,25.670046375858508,51.16602919501735,65,96.1680250163219,25.22420288418532,43.37019074162829,53.57142857142857,37.041714370171604,29.160552678136746,0.15525714781016675,29.160552678136753,40,45,40,1,0,1,-1.330486490436571,-0.4269434246142573,0.25070101309000725,42
PsiQuantum,Quantum Computing,USA,False,17.016806722689076,21.009771986970684,0.0,55.714285714285715,0.0,55,44.44444444444444,0.0,18.967587034813928,32.35294117647059,24.450583707967446,24.385546444419248,0.20894449021802577,24.385546444419248,44,31,44,4,2,2,-2.2206331307195555,-0.07035814207251669,0.23338217217634244,43
Redwire,Space Technology,USA,True,4.54381259987614,0.9590095422719765,1.4695606140815245,28.859291369520157,19.42175882990402,65,93.06062660978446,28.400226063708256,23.075008449178377,89.28571428571429,35.40750083640392,26.141774771309656,0.13714859394053866,26.14177477130966,43,46,43,2,0,1,-1.0011426162974495,-0.3873510772029978,0.2241370015813292,44
Pasqal,Quantum Computing,France,False,5.46218487394958,18.566775244299674,0.0,41.42857142857143,5.7268722466960345,55,44.44444444444444,0.0,45.378151260504204,32.35294117647059,24.835994067493594,21.709010852926557,0.17183127777936918,21.709010852926557,47,43,47,4,2,2,-2.808788615966534,0.19144669368307324,0.20351245930429668,45
Relativity Space,Space Technology,USA,False,2.3109243697478994,5.944625407166123,0.0,35.714285714285715,30.396475770925107,65,33.33333333333333,33.33333333333333,66.98679471788715,0.0,27.301977264667862,23.07450112763325,0.12808085709218345,23.074501127633255,45,47,45,4,2,2,-2.708989453893006,-0.11463092774648104,0.1999457650210878,46
Serve Robotics,Robotics,USA,True,2.149421402597092,6.375890151252323,6.9782953943885655,15.980010521840393,41.839481320302255,75,12.187988994514928,15.472935397920917,72.94475916711495,21.42857142857143,27.03573537785029,21.746197623940024,0.1150464692747527,21.746197623940027,46,48,46,4,2,2,-3.0027774138810024,0.22784132237980217,0.186737324150006,47
Xanadu,Quantum Computing,Canada,False,4.226396440929313,22.638436482084693,0.0,18.571428571428573,4.84581497797357,55,0.0,0.0,52.10084033613447,0.0,15.738291680855061,14.855915714565114,0.15990476793166244,14.855915714565118,48,44,48,4,2,2,-4.039553965485695,0.4360664888464788,0.15196284038145455,48
Skild AI,Robotics,USA,False,23.898130680843767,0.6514657980456025,0.0,0.0,3.964757709251103,75,0.0,0.0,13.258636788048554,0.0,11.677299097618903,12.63365871607463,0.0847597974362954,12.633658716074633,49,49,49,4,2,-1,-3.461250116874071,-0.8910498531379155,0.11386355024341105,49
